UBI	EAN	Lote	Caducidad	Piezas
10-2-30	7501125195372	D082880	8.2015	360
10-2-31	7501125195372	D082880	8.2015	360
10-2-32	7501125195372	D052644	5.2015	360
10-2-33	7501125195372	D082880	8.2015	360
10-2-34	7501125195372	D052644	5.2015	360
10-2-35	7501125195372	D111004	11.2014	300
10-3-10	7501125195372	D012201	1.2015	360
10-3-11	7501125195372	D111004	11.2014	360
10-3-12	7501125195372	D111004	11.2014	360
10-3-13	7501125195372	D111004	11.2014	360
10-3-14	7501125195372	D052644	5.2015	120
10-3-14	7501125195372	D062655	6.2015	240
10-3-15	7501125195372	D052644	5.2015	360
10-3-16	7501125195372	D042517	4.2015	60
10-3-16	7501125195372	D052644	5.2015	300
10-3-16	7501125195372	D062655	6.2015	41
10-3-17	7501125195372	D012201	1.2015	240
10-3-17	7501125195372	D111004	11.2014	120
10-3-18	7501125195372	D111004	11.2014	360
10-3-19	7501125195372	D012201	1.2015	8
10-3-19	7501125195372	D062655	6.2015	320
10-3-20	7501125195372	D082880	8.2015	360
10-3-21	7501125195372	D082880	8.2015	360
10-3-22	7501125195372	D012201	1.2015	120
10-3-22	7501125195372	D052644	5.2015	216
10-3-23	7501125195372	D082880	8.2015	360
10-3-24	7501125195372	D082880	8.2015	360
10-3-25	7501125195372	D032359	3.2015	360
10-3-26	7501125195372	D082880	8.2015	360
10-3-27	7501125195372	D082880	8.2015	360
10-3-28	7501125195372	D082880	8.2015	360
10-3-29	7501125195372	D082880	8.2015	360
10-3-30	7501125195372	D082880	8.2015	360
10-3-31	7501125195372	D082880	8.2015	360
10-3-32	7501125195372	D052644	5.2015	360
10-3-33	7501125195372	D082880	8.2015	360
10-3-34	7501125195372	D052644	5.2015	360
10-3-35	7501125195372	D111004	11.2014	360
10-3-36	7501125195372	D111004	11.2014	360
11-1-10	7501125195372	D082880	8.2015	600
11-1-11	7501125195372	D082880	8.2015	600
11-1-12	7501125195372	D082880	8.2015	600
11-1-13	7501125195372	D082880	8.2015	600
11-1-14	7501125195372	D082880	8.2015	600
11-1-15	7501125195372	D082880	8.2015	180
11-1-17	7501125195372	D082880	8.2015	49
11-2-09	7501125195372	D032359	3.2015	240
11-2-09	7501125195372	D042517	4.2015	120
11-2-10	7501125195372	D042517	4.2015	360
