UBI	EAN	Lote	Caducidad	Piezas
3-3-7	7501471887419	EL8296	5.2013	120
3-3-7	7501471887419	IL8565	9.2013	60
3-3-7	7501471887419	JL8434	7.2013	88
3-3-7	7501471888676	DL5123	4.2013	411
3-3-7	7501471888676	DL5129	5.2013	23
3-3-7	7501471889307	EL8323	5.2014	45
3-3-7	7502209910045	1812	2.2014	101
3-3-7	7502209910045	2612	3.2014	60
3-3-7	7502209910045	3812	6.2014	108
3-3-7	7502213041069	1E058	5.2013	18
3-3-7	7502216793439	12F169	6.2014	200
3-3-7	7502216795082	11F057	6.2013	313
3-3-7	7502216795082	IIE121	5.2013	5
3-3-7	7502216795082	IIM057	12.2013	29
3-3-7	7502216795082	IIM185	12.2013	125
3-3-8	7501070972721	I1105253	5.2013	454
3-3-8	7501070972721	I1112949	12.2013	158
3-3-8	7501070972721	I1201023	12.2013	3822
3-3-8	7501125111280	51080	5.2014	4700
3-3-8	7501125112034	C019569	1.2014	49
3-3-8	7501125112034	C061636	6.2016	3
3-3-8	7501125112034	C070256	7.2015	37
3-3-8	7501125112034	C108471	10.2013	40
3-3-8	7501125192364	B031819	11.2014	298
3-3-8	7501125196911	C078357	6.2013	40
3-3-8	7501125196911	C078357	7.2013	42
3-3-8	7501125196911	C098431	9.2013	60
3-3-8	7501125197352	B029396	2.2014	3
3-3-8	7501125197352	B029435	2.2014	50
3-3-8	7501125197352	B031820	3.2016	228
3-3-8	7501125197352	B041858	4.2016	713
3-3-8	7501125197352	B049519	4.2014	596
3-3-8	7501125197352	B051910	5.2016	1398
3-3-8	7501125197352	B061982	6.2016	730
3-3-8	7501125197352	B088165	8.2013	1238
3-3-8	7501125197352	B091188	10.2016	100
3-3-8	7501125197352	B099780	9.2014	200
3-3-8	7501125197352	B109898	10.2014	445
3-3-8	7501125197352	B118301	11.2013	648
3-3-8	7501125197352	B129960	12.2014	32
3-3-8	7501125199608	B042649	4.2014	100
3-3-8	7501125199608	B061034	5.2013	150
3-3-8	7501303443288	2557	4.2013	182
3-3-9	12153	AF12M	9.2014	8
3-3-9	656599040608	H111JL18	7.2013	2000
3-3-9	656599040608	HI11JL18	7.2013	560
3-3-9	7501037980189	108769	12.2013	2550
3-3-9	7501289501415	F50	1.2014	32
3-3-9	7501289501415	F51	3.2014	30
3-3-9	7501289501613	D13	6.2013	700
3-3-9	7501303442021	XB3035A	7.2013	6
3-3-9	7501590233043	T07002	7.2013	18
3-3-9	7501590233043	T0B092	11.2013	27
3-3-9	7502213040048	2D124	4.2014	5
3-3-9	7502216793965	11F015	6.2013	337
3-3-9	7502216793965	1161666	7.2013	88
3-3-9	7502216795006	13C131	3.2014	22
3-3-9	7503002771204	H1H001	8.2013	6
3-3-9	7503002771204	H1H001	9.2013	6
3-3-9	7503002771204	HIH001	8.2013	2
4-1-4	7501125102196	Q052267	5.2015	40
4-1-4	7501125102196	Q072575	7.2015	320
4-1-7	7501125195426	D022275	2.2015	186
4-1-8	75013592	110579	3.2013	440
4-1-8	75016500	1104959	4.2013	30
4-1-8	7501125196812	82018	8.2014	17
4-1-8	7501384526108	3900311	3.2013	28
4-1-8	7501573902706	L11214	9.2014	31
4-1-8	7501573902706	LI1215	9.2014	10
4-1-8	7501573902706	LI1215	9.2015	129
4-1-8	7501672690115	2091848	9.2014	19
4-1-8	7501672690542	2091775	9.2014	14
4-1-8	7501672690542	2091776	9.2014	256
4-1-8	7502001162594	B1107152	7.2013	86
4-1-8	8712400806565	237876	2.2013	66
4-1-9	7501125195426	D022275	2.2015	120
4-1-9	7501125195426	D052573	5.2015	24
4-1-9	7501125195426	D062648	6.2015	624
4-1-9	7501125195426	D062717	6.2015	13
4-1-9	7501125195426	D091868	9.2014	448
4-2-2	7501075710113	20772	9.2014	280
4-2-2	7501075710113	20972	9.2014	1120
4-2-2	7501075710113	21032	9.2017	17
4-2-7	7501075710113	21032	10.2014	1640
4-2-8	7501672690030	2061107	6.2014	2100
4-2-9	7501277005307	2182J12	10.2016	2500
4-2-9	7501277005307	2183J12	10.2016	200
4-2-9	7501908255798	21152	7.2014	380
4-2-9	7501908255798	21156	8.2014	219
4-3-1	7501125102196	Q032024	3.2015	216
4-3-2	7501125102219	Q072523	7.2015	184
4-3-3	7501125102196	Q032024	3.2015	216
4-3-4	7501125102196	Q032024	3.2015	80
4-3-4	7501125102196	Q072575	7.2015	136
4-3-5	7501125102196	Q062420	6.2015	32
4-3-5	7501125102196	Q062452	6.2015	184
4-3-6	7501125102196	Q052228	5.2015	72
4-3-6	7501125102196	Q052267	5.2015	144
4-3-7	7501125102196	Q062419	6.2015	216
4-3-8	7501125102196	Q072599	7.2015	216
4-3-9	7501125102196	Q72599	7.2015	72
4-3-9	7501125102196	Q072599	7.2015	144
4-4-1	7501125102196	Q072599	7.2015	216
4-4-2	7501125102219	Q032928	3.2015	133
4-4-3	7501125102196	Q032031	3.2015	8
4-4-3	7501125102196	Q052203	5.2015	16
4-4-3	7501125102196	Q052342	5.2015	72
4-4-3	7501125102196	Q062356	6.2015	96
4-4-3	7501125102196	Q062423	6.2015	16
4-4-3	7501125102196	Q062448	6.2015	8
4-4-4	7501125102196	Q042174	4.2015	120
4-4-4	7501125102196	Q062393	6.2015	48
4-4-4	7501125102196	Q062419	6.2015	48
4-4-5	7501125102196	Q032955	5.2015	32
4-4-5	7501125102196	Q052228	5.2015	64
4-4-5	7501125102196	Q062419	6.2015	48
4-4-5	7501125102196	Q072599	7.2015	72
4-4-6	7501125102196	Q032024	3.2015	32
4-4-6	7501125102196	Q052319	5.2015	128
4-4-6	7501125102196	Q062412	6.2015	56
4-4-7	7501125102196	Q022858	2.2015	8
4-4-7	7501125102196	Q052310	5.2015	96
4-4-7	7501125102196	Q062354	6.2015	80
4-4-7	7501125102196	Q062420	6.2015	16
4-4-7	7501125102196	Q062452	6.2015	16
4-4-8	7501125102196	Q072599	7.2015	216
4-4-9	7501125102196	Q072599	7.2015	216
5-1-9	7501125195372	4082880	8.2015	395
5-2-1	7501075711035	140052	7.2015	980
5-2-1	7501101623325	12A058	1.2014	25
5-2-1	7501201310019	B1604	7.2015	3
5-2-1	7501201310019	B1K03	10.2015	11
5-2-1	7501201310019	B2B17	2.2016	5
5-2-1	7502216793934	12J036	9.2014	20
5-2-2	7501258200011	120592	5.2015	12
5-2-2	7501908254319	21184	8.2015	1000
5-2-3	7501277090884	1446G12	7.2014	432
5-2-3	7501908253602	21139	7.2014	1100
5-2-4	7501672690252	2081602	8.2014	171
5-2-4	7502227872819	RGL011	6.2014	900
5-2-5	7501125103469	22293	2.2014	40
5-2-5	7501125193590	B052724	5.2015	100
5-2-5	7501277012428	1304F12B	6.2017	1600
5-2-6	7501277005307	1881H12A	8.2016	405
5-2-6	7502211788362	R1205350	5.2014	57
5-2-7	7501571200071	22170032	9.2015	1350
5-2-8	7501277036233	2067112	9.2017	4800
5-2-9	7501711616038	212055	9.2014	3000
5-3-1	7501125195372	D082880	8.2015	360
5-3-2	7501125195372	D082880	8.2015	360
5-3-3	7501125195372	D082880	8.2015	360
5-3-4	7501125195372	D082880	8.2015	360
5-3-5	7501125195372	D082880	8.2015	360
5-3-6	7501125195372	D082880	8.2015	360
5-3-7	7501125195372	D082880	8.2015	360
5-3-8	7501125195372	D082880	8.2015	360
5-3-9	7501125195365	D022279	2.2015	80
5-4-1	7501125195372	D082880	8.2015	360
5-4-2	7501125195372	D082880	8.2015	360
5-4-3	7501125195372	D082880	8.2015	360
5-4-4	7501125195372	D082880	8.2015	360
5-4-5	7501125195372	D082880	8.2015	360
5-4-6	7501125195372	D082880	8.2015	360
5-4-7	7501125195372	D082880	8.2015	360
5-4-8	7501125195372	D082880	8.2015	360
5-4-9	7501125195365	D111054	11.2014	644
6-1-1	7501125195372	D082880	8.2015	100
6-1-1	7501125195389	D062694	6.2015	8
6-1-2	7501052710112	73H1M122	12.2013	591
6-1-2	7501052710112	73H2B142	2.2014	5
6-1-7	7501125195389	D062694	6.2015	960
6-1-8	7501125195389	D092948	9.2015	1296
6-1-9	7501125195389	D092948	9.2015	528
6-2-1	7501522012281	11112	11.2014	5000
6-2-1	7502211788454	R1210013	10.2014	600
6-2-2	7502208892782	210391	11.2014	1260
6-2-4	75016562	1108654	8.2014	256
6-2-4	75016562	1109739	9.2014	44
6-2-4	75016852	1210791	10.2015	2560
6-2-4	75016852	1210792	10.2015	40
6-2-4	7501471888829	EM8293	5.2015	120
6-2-4	7501471888829	GL8395	7.2014	360
6-2-4	7501471888829	JL8573	10.2014	120
6-2-4	7502226291468	1202257	2.2014	100
6-2-5	7501037980219	255984	10.2015	192
6-2-5	7501037980219	255985	10.2015	9848
6-2-5	7501075714739	710092	3.2015	2100
6-2-6	7501672690443	2101928	11.2014	8800
6-2-7	7501672690085	2112214	11.2014	181
6-2-7	7501672690085	2112243	11.2014	2159
6-2-7	7501672690085	2112245	11.2014	3166
6-2-8	785120754100	2K2558	11.2014	600
6-2-8	7501125193668	82376	8.2015	100
6-2-8	7501672690443	2112226	11.2014	17444
6-2-8	7502004401379	O52070	5.2014	1770
6-2-9	7501711669485	54212	3.2014	20
6-2-9	7501711669485	100212	5.2014	702
6-2-9	7501711669485	175212	10.2014	28
6-3-1	7501125195372	D082880	8.2015	360
6-3-2	7501125195372	D082880	8.2015	360
6-3-3	7501125195372	D062655	6.2015	360
6-3-4	7501125195372	D082880	8.2015	360
6-3-5	7501125195372	D082880	8.2015	360
6-3-6	7501125195372	D062655	6.2015	120
6-3-6	7501125195372	D082880	8.2015	240
6-3-7	7501125195372	D062655	6.2015	360
6-3-8	7501125195372	D052644	5.2015	360
6-3-9	7501125195372	D082880	8.2015	360
6-4-1	7501125195372	D082880	8.2015	360
6-4-2	7501125195372	D02880	8.2015	360
6-4-3	7501125195372	D082880	8.2015	360
6-4-4	7501125195372	D082880	8.2015	360
6-4-5	7501125195372	D082880	8.2015	360
6-4-6	7501125195372	D082880	8.2015	480
6-4-7	7501125195372	D052644	5.2015	240
6-4-7	7501125195372	D062655	6.2015	120
6-4-8	7501125195372	D062655	6.2015	360
6-4-9	7501125195372	D062655	6.2015	360
7-1-1	75016562	110973	9.2014	793
7-1-1	75016562	1109739	9.2014	6667
7-1-2	12145	Q032043	3.2014	1190
7-1-8	7501125195327	V102017	10.2015	280
7-1-9	7501125195327	V102017	10.2015	480
7-2-1	7501471886627	FL2078	6.2014	70
7-2-1	7501471886627	JK0324	11.2013	5918
7-2-1	7501471886627	KL2173	11.2014	130
7-2-1	7501471886627	C010023	1.2014	10
7-2-1	7501471886627	C029613	2.2013	70
7-2-1	7501471886627	C031510	3.2015	20
7-2-1	7501471886627	C040136	4.2014	210
7-2-1	7501471886627	C051597	5.2015	30
7-2-1	7501471886627	C061689	6.2015	500
7-2-1	7501471886627	C069805	6.2013	160
7-2-1	7501471886627	C081794	8.2015	40
7-2-1	7501471886627	C089877	8.2013	20
7-2-2	7501471886627	FL2078	6.2014	365
7-2-2	7501471886627	JK0324	11.2013	4142
7-2-3	7501052710136	73H2K013	10.2014	264
7-2-4	7501052710136	73H2K013	10.2014	360
7-2-5	7501052710136	73H2K013	10.2014	360
7-2-6	7501052710136	73H2K013	10.2014	360
7-2-7	7501052710136	73H2K013	10.2014	360
7-2-8	7501052710136	73H2K013	10.2014	360
7-2-9	7501052710136	73H2K013	10.2014	360
7-3-3	7501052710136	73H2K033	10.2014	80
7-3-4	7501125197277	R02212	2.2015	12800
7-3-4	7501125197277	R02214	2.2015	2200
7-3-4	7501125197277	R02218	2.2015	2900
7-3-5	7501052710211	73V2A132	1.2014	620
7-3-6	7501052710211	73V1C332	3.2013	120
7-3-6	7501052710211	73V2B173	2.2014	140
7-3-6	7501052710211	73V2B183	2.2014	40
7-3-7	7501052710211	73V1C332	3.2013	600
7-3-8	7501052710211	73V2A132	1.2014	7
7-3-8	7501052710211	73V2B173	2.2014	600
7-3-9	7501052710211	73V2B183	2.2014	600
7-4-4	7501125197277	R02211	2.2015	16000
7-4-4	7501125197277	R02217	2.2015	3200
7-4-5	7501125197277	80888	8.2013	4800
7-4-5	7501125197277	111223	11.2014	19700
7-4-6	7501052710211	73V2B183	2.2014	600
7-4-7	7501052710211	73V1C332	3.2013	400
7-4-8	7501052710211	73V1212	9.2013	20
7-4-8	7501052710211	73V1C332	3.2013	580
7-4-9	7501052710211	73V1C332	3.2013	620
8-1-1	75016562	1109739	9.2014	5248
8-1-1	75016562	1109740	9.2014	1792
8-1-4	7501052710211	73V2A132	1.2014	1100
8-1-5	7501052710211	73V2A132	1.2014	1200
8-1-6	7501125111402	B080395	2.2013	8699
8-1-6	7501125197277	40838	4.2015	9100
8-1-7	7501125197277	R04242	4.2015	31200
8-1-8	7501052710136	73H2K013	10.2014	360
8-1-9	7501052710136	73H2K013	10.2014	360
8-2-1	7501052710136	73H2K033	10.2014	360
8-2-2	7501052710136	73H2K033	10.2014	360
8-2-3	7501052710136	73H2K033	10.2014	360
8-2-4	7501052710136	73H2K033	10.2014	360
8-2-5	7501052710136	73H2K033	10.2014	360
8-2-6	7501052710136	73H2K033	10.2014	360
8-2-7	7501052710136	73H2K033	10.2014	360
8-2-8	7501052710136	73H2K033	10.2014	360
8-2-9	7501052710136	73H2K033	10.2014	360
8-3-1	7501125192098	H022862	2.2017	816
8-3-2	7501125192098	H022862	2.2017	612
8-3-2	7501125192098	H072361	7.2017	204
8-3-3	7501125192098	H072361	7.2017	816
8-3-4	7501125192098	H072361	7.2017	816
8-3-5	7501125192098	H072361	7.2017	816
8-3-6	7501125192098	H072361	7.2017	816
8-3-7	7501125192098	H072361	7.2017	816
8-3-8	7501125192098	H072436	7.2017	816
8-3-9	7501125192098	H071436	7.2017	816
9-1-1	7501125195426	D102993	10.2015	924
9-1-2	7501125195426	D102993	10.2015	1933
9-1-3	7501125195426	D102993	10.2015	726
9-1-4	7501125195426	D082922	8.2015	44
9-1-5	7501125195426	D082922	8.2015	1338
9-1-8	7501125195365	D082852	8.2015	9
9-1-8	7501125195365	D092961	9.2015	22
9-1-9	7501125195365	D092961	9.2015	268
9-2-2	7501052710136	73H2K033	10.2014	360
9-2-3	7501052710136	73H2K033	10.2014	360
9-2-4	7501052710136	73H2K033	10.2014	360
9-2-5	7501052710136	73H2K033	10.2014	360
9-2-6	7501052710136	73H2K033	10.2014	360
9-2-7	7501052710136	73H2K033	10.2014	360
9-2-8	7501052710136	73H2K033	10.2014	360
9-2-9	7501052710136	73H2K033	10.2014	360
9-3-9	7501125197208	D052601	5.2015	1152
1-1-06	7501446004087	120433	3.2014	12
1-1-06	7501446004087	121106	9.2014	728
1-1-07	7501250870465	1270	5.2013	223
1-1-07	7501250870465	1271	5.2013	45
1-1-07	7501250870465	1901	12.2013	92
1-1-07	7501250870465	20086	2.2014	450
1-1-08	7501125193446	K032146	3.2014	113
1-1-08	7501125193446	K052420	9.2014	49
1-1-08	7501125193446	K092420	9.2014	140
1-1-09	656599040301	DG10DI42	12.2013	2
1-1-09	656599041407	DG11JU33	6.2013	12
1-1-09	656599041407	DG11MA24	5.2013	7
1-1-09	656599041407	DG12AB04	4.2014	36
1-1-09	7501046434055	89004029	4.2013	1
1-1-09	7501125101519	N04204	4.2014	30
1-1-09	7501125101519	N022035	2.2014	51
1-1-09	7501125101519	N02120110	2.2014	26
1-1-09	7501125101519	N12111365	12.2013	69
1-1-09	7501258203395	110945	7.2013	5
1-1-10	7501277005611	213A12	1.2015	7
1-1-10	7501277005611	1247F12	6.2015	487
1-1-10	7501277005611	1250F12	6.2015	11
1-1-11	7501075711035	140062	7.2015	1
1-1-11	7501075714173	670452	10.2014	791
1-1-12	7501075711035	8610	11.2013	569
1-1-12	7501075711035	140061	6.2014	61
1-1-12	7501075711035	140071	7.2014	49
1-1-12	7501075711035	140081	7.2014	17
1-1-12	7501075711035	140101	10.2014	263
1-1-12	7501075711035	140101	11.2014	145
1-1-15	7501672690214	2020161	2.2014	17
1-1-15	7501672690214	2050719	5.2014	389
1-1-15	7501672690214	2101940	10.2014	285
1-1-16	7501258200011	110585	5.2014	1
1-1-16	7501258209199	121274	9.2015	12948
1-1-16	7501258209199	121275	9.2015	1800
1-1-18	75004088	7711	9.2013	1
1-1-18	7501571201108	BEB0101	3.2014	1
1-1-18	7501573910428	SB1210	2.2014	1
1-1-18	7501672600503	1040717	4.2014	1
1-1-19	7501573900535	SE1001	5.2013	1
1-1-19	7503003134930	220	9.2014	900
1-1-19	7503003134930	1209508	9.2014	4666
1-1-19	7503003134930	11209508	9.2014	220
1-1-19	7503004908622	1206885	6.2014	6
1-1-20	7501125103360	51064	5.2013	30
1-1-20	7501125103360	62342	6.2014	432
1-1-20	7501125103360	72356	7.2014	1968
1-1-20	7501125103360	101204	10.2013	18
1-1-20	7501125103360	101268	12.2013	90
1-1-20	7501125103360	111254	11.2013	6
1-1-20	7501908250397	23004	1.2016	84
1-1-20	7501908250397	23005	1.2016	84
1-1-20	7502211788577	R1107051	7.2013	18
1-1-20	7502211788577	R1107144	7.2013	30
1-1-21	7501573900405	5J1229	6.2014	1800
1-1-21	7501573900405	SF1230	6.2014	740
1-1-21	7501573900405	SJ1229	6.2014	921
1-1-21	7502010840025	S12247	8.2014	347
1-1-21	7502010840025	SE1234	5.2014	323
1-1-22	7502211784265	R1106010	6.2013	12
1-1-22	7502211788393	R1207569	7.2014	123
1-1-23	7501075717686	540022	8.2014	1304
1-1-23	7501075717686	540061	10.2013	58
1-1-23	7501672690320	2020285	2.2014	20
1-1-23	7502216794566	12KD64	10.2014	783
1-1-24	7501075713183	61710	8.2013	12
1-1-24	7501075713183	340022	1.2015	75
1-1-24	7501075713183	340062	1.2015	277
1-1-24	7501075713183	340241	8.2014	37
1-1-24	7501075713183	661210	7.2013	1074
1-1-24	7501075713183	662110	10.2013	99
1-1-24	7501075713183	662310	11.2013	300
1-1-24	7501075713183	662410	11.2013	128
1-1-24	7501277013104	1487J11	10.2016	14
1-1-25	7501537101879	109392	9.2013	1
1-1-25	7501537101879	109393	9.2013	15
1-1-25	7502004401379	62076	6.2014	3
1-1-25	7502004401379	62077	6.2014	8329
1-1-25	7503003134688	1208303	8.2014	16
1-1-25	7503007704085	205158	5.2014	10
1-1-26	7501672690542	1040670	4.2013	64
1-1-26	7501672690542	1071454	7.2013	50
1-1-26	7501672690542	1112260	11.2013	168
1-1-26	7501672690542	2020224	2.2014	388
1-1-26	7501672690542	2020225	2.2014	79
1-1-26	7501672690542	2030532	3.2014	588
1-1-26	7501672690542	2060896	6.2014	371
1-1-26	7501672690542	2060897	6.2014	530
1-1-27	7502211782100	R1105787	6.2013	104
1-1-27	7502211782100	R1106859	6.2013	55
1-1-27	7502211782100	R1107120	7.2013	14
1-1-27	7502211788454	R1109372	9.2013	1
1-1-27	7502211788454	R1210013	10.2014	547
1-1-28	75008543	121204	10.2015	287
1-1-29	7501075715095	740052	6.2015	1
1-1-29	7501075715095	740071	7.2014	1
1-1-29	7501573900313	SB1237	2.2014	2
1-1-29	7501573900313	SI1106	9.2013	1
1-1-30	785120753349	2I2117	9.2014	232
1-1-30	785120753349	2I2156	9.2014	84
1-1-31	7501125195778	1082241	12.2013	201
1-1-33	7503001007021	52349	6.2014	608
1-1-33	7503001007021	52602	9.2014	450
1-1-34	7501075710113	20222	2.2014	10
1-1-34	7501537161316	204277	4.2014	535
1-1-34	7501537161316	204278	4.2012	50
1-1-34	7501537161316	204278	4.2014	496
1-1-34	7502226291857	1107472	7.2013	268
1-1-34	7506188291023	A0125611	6.2013	155
1-1-35	7501471888898	BM8152	6.2014	5
1-1-36	7502208890047	210290	10.2014	565
1-1-36	7502208890047	210294	10.2014	361
1-2-06	75008499	120631	5.2014	535
1-2-08	656599010052	100650	6.2013	6
1-2-08	656599010052	101011	10.2013	5
1-2-08	656599010052	108101	11.2013	2
1-2-09	7501277005307	217A12	12.2016	2
1-2-09	7501277005307	781E10	5.2014	2
1-2-09	7501277005307	1773K11	11.2015	6
1-2-09	7501277005307	1774K11	11.2015	11
1-2-09	7501277005307	2183J12B	10.2016	358
1-2-10	7501471888829	CL8191	3.2014	79
1-2-10	7501471888829	EM8293	5.2015	85
1-2-10	7501471888829	GL8393	7.2014	763
1-2-10	7501471888829	IL8529	9.2014	1
1-2-11	7501908255613	21004	1.2014	17
1-2-11	7501908255613	21083	4.2014	108
1-2-11	7501908255613	21084	4.2014	5
1-2-11	7501908255613	21094	5.2014	101
1-2-11	7501908255613	21095	5.2014	479
1-2-11	7501908255613	21096	5.2014	696
1-2-12	7501471888089	CM8233	3.2014	180
1-2-12	7501471888089	IL8550	9.2013	108
1-2-12	7502215781420	NF002A12	1.2014	19
1-2-12	7502216792289	12F096	6.2014	1
1-2-14	75006440	721672	10.2017	240
1-2-14	7501075718904	I68010	11.2015	240
1-2-14	7501075718904	I69110	11.2015	51
1-2-14	7501672690085	2091795	9.2014	846
1-2-15	7502006927501	2F430	6.2014	80
1-2-15	7502006927501	2F464	6.2014	39
1-2-15	7502006927501	2H588	8.2014	1500
1-2-16	75016562	1108653	8.2014	525
1-2-16	75016562	1109739	9.2014	11
1-2-16	75016562	1110006	10.2014	107
1-2-16	7501571200439	BD0101	2.2013	2
1-2-16	7502211788492	R1106944	6.2013	10
1-2-17	75004088	4911	7.2013	16
1-2-17	75041588	840022	3.2014	250
1-2-18	7501471887679	DM8286	4.2014	53
1-2-18	7501471889314	DM8286	4.2014	540
1-2-18	7501471889314	FL8359	6.2013	5
1-2-19	7501573900535	SE1001	5.2013	1939
1-2-19	7501573900535	SE1001	5.2015	640
1-2-19	7501573900535	SG1213	7.2015	1520
1-2-19	7501908250397	23005	1.2016	11
1-2-20	7501075710113	20362	3.2014	15
1-2-20	7501075710113	20531	6.2013	64
1-2-20	7501075710113	20641	8.2013	6
1-2-20	7501075710113	20731	8.2013	2
1-2-20	7501075710113	20992	10.2014	2
1-2-20	7501672690030	2061106	6.2014	1
1-2-20	7501672690030	2061107	6.2014	350
1-2-20	7501672690030	2061108	6.2014	541
1-2-20	7501672690030	2071123	7.2014	180
1-2-21	7501277012428	1700H12A	8.2017	615
1-2-22	7501908258805	27055	3.2017	50
1-2-22	7501908258805	27117	5.2017	725
1-2-22	7501908258805	27123	5.2017	94
1-2-22	7501908258805	27141	6.2017	25
1-2-22	7501908258805	27177	7.2017	25
1-2-24	7501075715910	790022	12.2015	15
1-2-24	7501075715910	790041	5.2014	1
1-2-24	7501075715910	790051	9.2014	37
1-2-24	7501672690443	2101923	10.2014	2805
1-2-25	7501672690115	2091848	9.2014	131
1-2-26	75009182	56A12	1.2016	788
1-2-26	75009182	1659J11	10.2015	342
1-2-26	75009182	1979I12	9.2016	515
1-2-26	7501277005611	1250F12	6.2015	5
1-2-26	7501277090884	1445G12	7.2014	1097
1-2-26	7501277090884	1446G12	7.2014	201
1-2-26	7501277090945	1080F12	6.2014	5
1-2-26	7501571201108	BEB0050	8.2013	1292
1-2-26	7501571201108	BEB0080	8.2013	3
1-2-26	7501571201108	BEB0090	9.2013	1727
1-2-26	7501571201108	BEB0100	9.2013	161
1-2-26	7501571201108	BEB0101	3.2014	481
1-2-26	7501571201108	BEB0110	10.2013	15
1-2-26	7501571201108	BEB0191	6.2014	96
1-2-27	7501277090945	1435G12	7.2014	221
1-2-28	0000000010721	110896	5.2013	45
1-2-28	0000000010721	110900	5.2013	41
1-2-28	0000000010721	111007	5.2013	58
1-2-28	0000000010721	111301	8.2013	1
1-2-28	7502208892911	101195	2.2013	1
1-2-29	7501075715088	730162	10.2014	252
1-2-29	7501299324516	D09007	9.2015	53
1-2-30	785120753349	2E989	5.2014	1
1-2-30	7501125106958	1051195	6.2013	5
1-2-30	7501125195754	1052147	7.2014	169
1-2-30	7501125195754	1082246	12.2013	1192
1-2-30	7501125195754	1121403	1.2014	21
1-2-30	7501250871868	552	7.2013	725
1-2-31	7501125191824	ID12019	1.2015	65
1-2-32	7502208891907	210274	10.2014	329
1-2-33	7502208891891	210301	10.2014	131
1-2-34	7503002888131	912183	9.2014	1176
1-2-34	7503002888131	912185	9.2014	405
1-3-10	7501277036233	1060F12	6.2017	1200
1-3-10	7501547518179	120513	5.2014	7480
1-3-11	10721	110898	5.2013	2916
1-3-11	10721	110900	5.2013	972
1-3-11	10721	110972	5.2013	8748
1-3-11	10721	111007	5.2013	3888
1-3-12	7503001007076	S1840	12.2013	90
1-3-12	7503001007076	S2234	4.2014	90
1-3-12	7503001007076	S2444	7.2014	180
1-3-12	7503001007076	S2447	7.2014	450
1-3-13	7501277036233	118F12	6.2017	900
1-3-13	7501277036233	180512	8.2017	900
1-3-13	7501277036233	1187F12	6.2017	2100
1-3-13	7501277036233	1750H12	8.2017	1200
1-3-13	7501277036233	1803H12	8.2017	600
1-3-13	7501277036233	1804H12	8.2017	5100
1-3-13	7501277036233	1805H12	8.2017	9300
1-3-14	7501125197666	K012022	1.2014	900
1-3-14	7501125197666	K061198	6.2013	1500
1-3-14	7501125197666	K081255	8.2013	4800
1-3-14	7501125197666	K091307	9.2013	4200
1-3-14	7501125197666	K111364	11.2013	300
1-3-14	7501125197666	K111366	11.2013	1120
1-3-15	7501125193026	N12111424	12.2013	135
1-3-16	7501277036233	1338F12	6.2017	840
1-3-16	7501277036233	1472G12	7.2017	5970
1-3-17	7501277036233	1472G12	7.2017	3000
1-3-17	7501277036233	1801H12	8.2017	12000
1-3-17	7501277036233	1805H12	8.2017	6000
1-3-18	7501075717389	712310	7.2013	10500
1-3-19	7501075717389	712310	7.2013	11699
1-3-20	7501188801609	8910023-2	6.2013	8270
1-3-20	7501188801609	8910023 -2	6.2013	700
1-3-21	7501188801609	89100232	6.2013	9600
1-3-22	7501672690030	2071120	7.2014	1350
1-3-23	7501075713886	630092	6.2015	140
1-3-23	7501075713886	630122	7.2015	630
1-3-24	7501075713183	662410	11.2013	3360
1-3-25	7501075713183	662410	11.2013	3360
1-3-26	7501075710113	20692	8.2014	660
1-3-28	7501125195501	D102046	10.2015	50
1-3-28	7501125195501	D102991	10.2015	2986
1-3-29	7501250871868	552	7.2013	11790
1-3-30	7502211788393	R120756	7.2014	420
1-3-30	7502211788393	R1207569	7.2014	972
1-3-31	7501277036233	1159F12	6.2017	2001
1-3-31	7501277036233	1189F12	6.2017	8499
1-3-31	7501277036233	1470G12	7.2017	10500
1-3-32	7501277036233	1120F12	6.2017	603
1-3-32	7501277036233	1190F12	6.2017	6000
1-3-33	7501672690030	2061108	6.2014	1800
1-3-34	7501573900535	SE1001	5.2013	10880
1-3-35	7503001007021	51818	11.2013	900
1-3-35	7503001007021	52184	3.2014	900
1-3-35	7503001007021	52185	3.2014	300
1-3-35	7503001007021	S1817	11.2013	750
1-3-35	7503001007021	S1819	11.2013	450
1-3-35	7503001007021	S2334	6.2014	1050
1-3-36	7501052710136	73H2K013	10.2014	120
10-1-5	786759213075	V11L03E	12.2013	39
10-1-5	7501052710211	73V2A132	1.2014	5
10-1-5	7501125100123	D042467	4.2015	71
10-1-5	7501125100253	D121098	12.2014	1
10-1-5	7501125101332	Q111405	11.2013	280
10-1-5	7501125142970	D071486	7.2013	43
10-1-5	7501125195280	D062682	6.2015	120
10-1-5	7501125195372	D012201	1.2015	9
10-1-5	7501125195372	D042517	4.2015	1
10-1-5	7501125195372	D052644	5.2015	4
10-1-5	7501125195372	D111004	11.2014	1
10-1-5	7501125195389	D062694	6.2015	193
10-1-5	7506022303691	1011220	11.2013	1
10-1-5	7506022303929	1104263	4.2013	1
10-1-9	786759113221	V12I19C	9.2014	1011
10-2-6	7501052710136	73H2K013	10.2014	138
10-2-7	7501052710136	73H2K013	10.2014	380
10-2-8	7501125195372	D042517	4.2014	120
10-2-8	7501125195372	D042517	4.2015	240
10-2-9	7501125195372	D111004	11.2014	360
10-3-7	7501125195372	D032429	3.2015	360
